source_file,title_candidate,body_chars,best_collection,best_overlap,whole_body_contained,decision,selected_for_master
contos/macn063.txt,"Conto, D. Mônica, 1876",45475,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn064.txt,"Conto, Encher tempo, 1876",63914,contos/macn003.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn065.txt,"Conto, O Passado, o passado, 1876",19793,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn066.txt,"Conto, Sem olhos, 1876",36247,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn067.txt,"Conto, To be or not to be, 1876",29434,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn068.txt,"Conto, História de uma fita azul, 1876",29963,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn069.txt,"Conto, Um Almoço, 1877",31037,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn070.txt,"Conto, Um Ambicioso, 1877",38309,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn071.txt,"Conto, A melhor das noivas, 1877",33793,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn072.txt,"Conto, Silvestre, 1877",44390,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn073.txt,"Conto, Antes da Missa, 1878",14782,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn074.txt,"Conto, O Califa de Platina, 1878",12456,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn075.txt,"Conto, Um Cão de Lata ao Rabo, 1878",12918,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn076.txt,"Conto, Conversão de um avaro, 1878",33229,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn077.txt,"Conto, Dívida extinta, 1878",44222,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
