source_file,category,title_in_contents,in_index_116,role,include_in_master,decision
contos/macn074.txt,contos,"Conto, O Califa de Platina, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn075.txt,contos,"Conto, Um Cão de Lata ao Rabo, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn076.txt,contos,"Conto, Conversão de um avaro, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn077.txt,contos,"Conto, Dívida extinta, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn078.txt,contos,"Conto, Elogio da Vaidade, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn079.txt,contos,"Conto, Filosofia de um Par de Botas, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn080.txt,contos,"Conto, A Herança, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn081.txt,contos,"Conto, O Machete, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn082.txt,contos,"Conto, Folha Rota, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn083.txt,contos,"Conto, A chave, 1879",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn084.txt,contos,"Conto, O Caso da Viúva, 1881",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn085.txt,contos,"Conto, A mulher pálida, 1881",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn086.txt,contos,"Conto, O imortal, 1882",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn087.txt,contos,"Conto, Letra Vencida, 1882",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn088.txt,contos,"Conto, O programa, 1882",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn089.txt,contos,"Conto, A idéia do Ezequiel Maia, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn090.txt,contos,"Conto, Médico é remédio, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn091.txt,contos,"Conto, História comum, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn092.txt,contos,"Conto, O destinado, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn093.txt,contos,"Conto, Troca de datas, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn094.txt,contos,"Conto, Questões de maridos, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn095.txt,contos,"Conto, Três conseqüências, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn096.txt,contos,"Conto, Vidros quebrados, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn097.txt,contos,"Conto, Cantiga velha, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn098.txt,contos,"Conto, Metafísica das Rosas, 1883",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn099.txt,contos,"Conto, Trina e Una, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn100.txt,contos,"Conto, O contrato, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn101.txt,contos,"Conto, A Carteira, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn102.txt,contos,"Conto, O Melhor Remédio, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn103.txt,contos,"Conto, A Viúva Sobral, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn104.txt,contos,"Conto, Entre duas datas, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn105.txt,contos,"Conto, Vinte Anos! Vinte Anos!, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn106.txt,contos,"Conto, O Caso do Romualdo, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn107.txt,contos,"Conto, Uma Carta, 1884",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn108.txt,contos,"Conto, Só, 1885",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn109.txt,contos,"Conto, Habilidoso, 1885",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn110.txt,contos,"Conto, Viagem à roda de mim mesmo, 1885",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn111.txt,contos,"Conto, Curta História, 1886",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn112.txt,contos,"Conto, Um Dístico, 1886",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn113.txt,contos,"Conto, Astúcias de marido, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn114.txt,contos,"Conto, Pobre Cardeal, 1886",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn115.txt,contos,"Conto, Terpsícore, 1886",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn116.txt,contos,"Conto, Antes a Rocha Tarpéia, 1887",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn117.txt,contos,"Conto, Identidade, 1887",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn118.txt,contos,"Conto, Sales, 1887",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn119.txt,contos,"Conto, Dona Jucunda, 1889",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn120.txt,contos,"Conto, Como se inventaram os almanaques, 1890",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn121.txt,contos,"Conto, Pobre Finoca!, 1891",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn122.txt,contos,"Conto, O Caso Barreto, 1892.htm",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn123.txt,contos,"Conto, Uma Partida, 1892",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn124.txt,contos,"Conto, Um Sonho e Outro Sonho, 1892",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn125.txt,contos,"Conto, Um Quarto de Século, 1893",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn126.txt,contos,"Conto, Vênus! Divina Vênus!, 1893",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn127.txt,contos,"Conto, A inglesinha Barcelos, 1894",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn128.txt,contos,"Conto, João Fernandes, 1894",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn129.txt,contos,"Conto, Uma Noite, 1895",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn130.txt,contos,"Conto, Orai por ele!, 1895",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn131.txt,contos,"Conto, Um Incêndio, 1906",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn132.txt,contos,"Conto, Uma por Outra, 1897",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn133.txt,contos,"Conto, Flor Anônima, 1897",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn134.txt,contos,"Conto, Jogo do Bicho, 1904",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn135.txt,contos,"Conto, O Escrivão Coimbra, 1906",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn136.txt,contos,"Conto, Bagatela, 1859",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn137.txt,contos,"Conto, Um para o outro, 1879",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
critica/mact01.txt,critica,"O Passado, o presente e o futuro da literatura (1858)",True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact02.txt,critica,Idéias sobre o teatro (1859),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact03.txt,critica,Revista dos teatros (1859),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact04.txt,critica,Revista Dramática (1860),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact05.txt,critica,A Crítica teatral. José de Alencar: Mãe (1860),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact06.txt,critica,Crítica variada - Diário do RJ (1862),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact07.txt,critica,"Flores e Frutos, de Bruno Seabra (1862)",True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact08.txt,critica,Pareceres - Conservatório Dramático (1862-1864),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact09.txt,critica,Homem de Mello e B. Pinheiro – A Constituinte perante a História e Sombras e Luz (1863),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact10.txt,critica,"Peregrinação pela província de S. Paulo , por A. E. Zaluar (1863)",True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact11.txt,critica,"Revelações , de A. E. Zaluar (1863)",True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact12.txt,critica,Dois folhetins. Suplício de uma mulher (1865),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact13.txt,critica,O Ideal do crítico (1865),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact14.txt,critica,Álvares de Azevedo: Lira dos vinte anos (1866),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
critica/mact15.txt,critica,Crítica teatral (1866),True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC
